0	1
AND(OR(dateEquality(x.date,y.date)|0.54,AND(OR(qgrams(x.event,y.event)|0.31,cosine(x.event,y.event)|0.41)|0.46,qgrams(x.event,y.event)|0.55)|0.59)|0.59,cosine(x.event,y.event)|0.41)	two events occurred on the same date (with 54% confidence), or event names moderately similar (Q-grams ≥ 0.31 or Cosine ≥ 0.41) and highly similar by Q-grams (≥ 0.55), thenthe same if Cosine similarity is ≥ 0.41
AND(OR(yearMatch(x.date,y.date)|0.65,AND(OR(jaroWinkler(x.event,y.event)|0.54,levenshtein(x.event,y.event)|0.58)|0.47,levenshtein(x.event,y.event)|0.58)|0.60)|0.42,levenshtein(x.event,y.event)|0.58)	two events happened in the same year (65% confidence), or names very similar (Jaro-Winkler ≥ 0.54 or Levenshtein ≥ 0.58), then match if Levenshtein similarity is ≥ 0.58
AND(OR(before(x.date,y.date)|0.60,AND(OR(cosine(x.event,y.event)|0.39,levenshtein(x.event,y.event)|0.32)|0.59,jaroWinkler(x.event,y.event)|0.34)|0.50)|0.55,levenshtein(x.event,y.event)|0.32)	one event occurred before the other (≥ 60% confidence), or names similar (Cosine ≥ 0.39 or Levenshtein ≥ 0.32), and Jaro-Winkler similarity is ≥ 0.34, then match if Levenshtein similarity is ≥ 0.32
AND(OR(dateDifference(x.date,y.date)|0.67,AND(OR(cosine(x.event,y.event)|0.32,jaroWinkler(x.event,y.event)|0.40)|0.43,qgrams(x.event,y.event)|0.54)|0.41)|0.45,jaroWinkler(x.event,y.event)|0.40)	the time difference between two events is small (≤ threshold of 0.67), or names similar (Cosine ≥ 0.32 or Jaro-Winkler ≥ 0.40) and Q-gram similarity is ≥ 0.54, then match if Jaro-Winkler similarity is ≥ 0.40
AND(OR(before(x.date,y.date)|0.56,AND(OR(levenshtein(x.event,y.event)|0.48,cosine(x.event,y.event)|0.46)|0.49,qgrams(x.event,y.event)|0.43)|0.56)|0.55,cosine(x.event,y.event)|0.46)	one event happened before the other (≥ 56% confidence), or the names similar (Levenshtein ≥ 0.48 or Cosine ≥ 0.46) and Q-grams ≥ 0.43, then match if Cosine similarity is ≥ 0.46
AND(OR(after(x.date,y.date)|0.53,AND(OR(jaroWinkler(x.event,y.event)|0.38,cosine(x.event,y.event)|0.56)|0.51,qgrams(x.event,y.event)|0.44)|0.50)|0.59,cosine(x.event,y.event)|0.56)	one event occurred after the other (≥ 53%), or names similar (Jaro-Winkler ≥ 0.38 or Cosine ≥ 0.56) and Q-grams ≥ 0.44, then match if Cosine similarity is ≥ 0.56
AND(OR(withinDays(x.date,y.date)|0.44,AND(OR(cosine(x.event,y.event)|0.59,cosine(x.event,y.event)|0.42)|0.59,levenshtein(x.event,y.event)|0.59)|0.57)|0.60,cosine(x.event,y.event)|0.42)	two events happened within a few days of each other (withinDays ≥ 0.44), or event names very similar (Cosine ≥ 0.59 and Cosine ≥ 0.42) and Levenshtein ≥ 0.59, thena match
AND(OR(before(x.date,y.date)|0.80,AND(OR(jaroWinkler(x.event,y.event)|0.36,qgrams(x.event,y.event)|0.31)|0.60,cosine(x.event,y.event)|0.60)|0.49)|0.40,qgrams(x.event,y.event)|0.31)	one event occurred before the other (≥ 80%), or the names similar (Jaro-Winkler ≥ 0.36 or Q-grams ≥ 0.31) and Cosine ≥ 0.60, then probably refer to the same event
AND(OR(yearMatch(x.date,y.date)|0.63,AND(OR(cosine(x.event,y.event)|0.36,qgrams(x.event,y.event)|0.32)|0.44,levenshtein(x.event,y.event)|0.56)|0.59)|0.58,qgrams(x.event,y.event)|0.32)	two events occurred in the same year (≥ 63%), or names somewhat similar (Cosine ≥ 0.36 or Q-grams ≥ 0.32) and Levenshtein ≥ 0.56, then probably refer to the same event
AND(OR(withinDays(x.date,y.date)|0.83,AND(OR(cosine(x.event,y.event)|0.36,cosine(x.event,y.event)|0.60)|0.59,cosine(x.event,y.event)|0.54)|0.52)|0.53,cosine(x.event,y.event)|0.60)	two events occurred within a few days (withinDays ≥ 0.83), or names very similar (Cosine ≥ 0.36 and Cosine ≥ 0.60) and Cosine ≥ 0.54, then match
